,eval_accuracy,eval_loss
0,0.3975,0.01355313241481781
1,0.6175,0.00775441974401474
2,0.8125,0.001408638209104538
3,0.81625,0.0008947908505797386
4,0.8175,0.0009023208543658257
5,0.82,0.0008246239647269249
6,0.83375,0.000733395740389824
7,0.84125,0.00079087033867836
8,0.8375,0.0006453941762447357
9,0.8275,0.0006514094211161137
10,0.835,0.0006260939501225948
11,0.8275,0.0005677951872348785
12,0.83875,0.0005306826159358025
13,0.8325,0.0005664216727018356
14,0.83875,0.000568898394703865
15,0.84,0.0006002722680568695
16,0.83875,0.0006071431189775467
17,0.84125,0.0005957959964871406
18,0.845,0.0005835672281682492
19,0.84125,0.0006057480722665787
20,0.84625,0.000610464420169592
21,0.84875,0.0006263516284525394
22,0.84875,0.0006170164793729782
23,0.84125,0.0005050335265696049
24,0.85375,0.0005104793421924114
25,0.8475,0.000511698704212904
26,0.84875,0.0005669463239610195
27,0.85,0.0005389673076570034
28,0.84625,0.00047976667061448095
29,0.8425,0.00033267948776483536
30,0.83375,0.0002487186808139086
31,0.82375,0.00022484399378299713
32,0.81875,0.0002107203006744385
33,0.825,0.00018344542011618613
34,0.83625,0.00014759495854377747
35,0.83125,0.0001440741727128625
36,0.83,0.00013630421832203866
37,0.84,6.953041069209576e-05
38,0.84125,8.918509352952242e-05
39,0.8325,9.453845210373402e-05
40,0.83875,7.248205598443747e-05
41,0.82125,8.248185738921166e-05
42,0.8325,9.073857683688402e-05
43,0.8275,6.84376759454608e-05
44,0.82875,5.1363477250561115e-05
45,0.82875,3.84432525606826e-05
46,0.81625,3.276700212154538e-05
47,0.82375,3.1858721631579104e-05
48,0.815,2.0982646383345127e-05
49,0.82625,1.4696111320517957e-05
