,eval_accuracy,eval_loss
0,0.2825,0.013954731225967408
1,0.29375,0.013838576078414917
2,0.32,0.013699328303337097
3,0.37,0.013420493602752685
4,0.52125,0.010000966191291809
5,0.88125,0.002335605248808861
6,0.94,0.001273597851395607
7,0.94875,0.0011413158476352692
8,0.93875,0.0009718858823180199
9,0.94375,0.0008849556744098664
10,0.94,0.0008307930082082748
11,0.92625,0.0007704364135861397
12,0.91625,0.0006741233915090561
13,0.915,0.0005462978780269623
14,0.91125,0.0004780351556837559
15,0.91,0.0004988853447139264
16,0.89875,0.0004422516375780106
17,0.90375,0.00044801205396652224
18,0.90375,0.0004050508886575699
19,0.9025,0.0004042796604335308
20,0.9025,0.0003968118317425251
21,0.90375,0.0003612685017287731
22,0.905,0.0003286910615861416
23,0.89625,0.0003300306759774685
24,0.89875,0.00029246002435684204
25,0.89625,0.0003350667282938957
26,0.90125,0.00031828938983380795
27,0.91,0.0002992426510900259
28,0.89625,0.00031731143593788147
29,0.9075,0.0002762588206678629
30,0.89875,0.00029859852045774457
31,0.89875,0.0002073691040277481
32,0.8975,0.00014487318228930234
33,0.9075,8.798924507573247e-05
34,0.90625,6.816545268520713e-05
35,0.91,4.105755710043013e-05
36,0.8925,3.763879416510463e-05
37,0.89625,2.6631122455000878e-05
38,0.89375,2.138247131370008e-05
39,0.8975,1.9022103515453637e-05
40,0.8875,1.5491367084905504e-05
41,0.8825,1.4265098725445568e-05
42,0.87625,1.3002228806726634e-05
43,0.8725,1.2794744689017535e-05
44,0.87875,1.0315479012206196e-05
45,0.86125,1.1636767303571106e-05
46,0.87875,8.949142938945443e-06
47,0.885,1.011615851894021e-05
48,0.87375,1.1279222671873868e-05
49,0.895,1.1420209775678813e-05
