,eval_accuracy,eval_loss
0,0.27875,0.013950128555297852
1,0.315,0.013581933975219727
2,0.40375,0.012404375672340394
3,0.72625,0.006931871175765991
4,0.81625,0.008096477389335633
5,0.80625,0.009126015305519104
6,0.81,0.009483868479728699
7,0.81875,0.010038487017154693
8,0.8175,0.010314467549324035
9,0.8125,0.010459081828594207
10,0.8025,0.010573828220367431
11,0.8025,0.01070655047893524
12,0.80375,0.010878069996833802
13,0.8,0.0108382847905159
14,0.81,0.010960253775119782
15,0.80375,0.010887442529201508
16,0.805,0.011219383776187896
17,0.80875,0.010495059192180634
18,0.805,0.010777494609355927
19,0.80375,0.01094418704509735
20,0.80125,0.011145305037498474
21,0.795,0.011330634653568268
22,0.79875,0.011547147631645202
23,0.80625,0.011946540474891663
24,0.8025,0.011782722473144531
25,0.7975,0.011649569869041443
26,0.7975,0.011548998951911926
27,0.8075,0.011076742708683014
28,0.79625,0.011097716689109803
29,0.80125,0.010938376784324647
30,0.80625,0.01127837061882019
31,0.80875,0.010322647988796235
32,0.815,0.010165674984455109
33,0.80875,0.01010283648967743
34,0.8175,0.010141508877277374
35,0.815,0.009299550652503968
36,0.82375,0.008743468225002288
37,0.81,0.008434074521064759
38,0.82125,0.00897910088300705
39,0.82,0.009807315170764924
40,0.8275,0.00901473432779312
41,0.8225,0.009020905494689941
42,0.81625,0.009535431265830993
43,0.83,0.009633066952228547
44,0.82125,0.009056698381900787
45,0.83125,0.009973448812961578
46,0.82375,0.010983544588088989
47,0.82875,0.0099008047580719
48,0.83375,0.00964144229888916
49,0.82,0.010121669173240661
50,0.82125,0.009970206022262573
51,0.80625,0.009174234867095947
52,0.815,0.009465115070343018
53,0.82625,0.008901478052139282
54,0.82125,0.008018244206905365
55,0.82375,0.007452369928359986
56,0.8225,0.007535244226455688
57,0.8175,0.009228497743606567
58,0.8275,0.010298031270503999
59,0.825,0.012894138097763061
60,0.82375,0.012964374423027038
61,0.8375,0.01757761597633362
62,0.835,0.015663008093833922
63,0.84125,0.011979600191116333
64,0.8225,0.012283363342285157
65,0.82125,0.015911421179771422
66,0.82125,0.018197477459907532
67,0.8225,0.02349692940711975
68,0.83375,0.016739784479141234
69,0.81625,0.019977113008499147
70,0.82,0.02032597243785858
71,0.8075,0.023202542066574097
72,0.81625,0.010430987775325775
73,0.835,0.020256974697113038
74,0.83875,0.02155918061733246
75,0.815,0.027051820755004882
76,0.8225,0.024318972826004027
77,0.8175,0.020445478558540345
78,0.82875,0.022603233456611634
79,0.8175,0.023635361194610596
80,0.8175,0.01842732012271881
81,0.82875,0.026627496480941773
82,0.8275,0.01725028157234192
83,0.805,0.02251800537109375
84,0.80125,0.020604580640792847
85,0.79875,0.01918902516365051
86,0.82375,0.02543760359287262
87,0.815,0.02058198571205139
88,0.81625,0.03163085222244263
89,0.8225,0.019014624357223512
90,0.81125,0.020855610370635987
91,0.79375,0.011087614893913269
92,0.8125,0.024346288442611694
93,0.81,0.020262457132339477
94,0.815,0.022726836204528807
95,0.805,0.02012420654296875
96,0.8175,0.03042968511581421
97,0.8075,0.026553865671157837
98,0.775,0.02203526496887207
99,0.81375,0.042470743656158445
100,0.80125,0.03466714859008789
101,0.79375,0.04901964664459228
102,0.79625,0.03434680461883545
103,0.80375,0.03144569754600525
104,0.79875,0.018060609698295593
105,0.81625,0.02563024401664734
106,0.81625,0.031556286811828614
107,0.8125,0.032710413932800296
108,0.81125,0.021967320442199706
109,0.81,0.031995189189910886
110,0.79625,0.032000679969787595
111,0.8125,0.039335029125213625
112,0.805,0.0285042941570282
113,0.7925,0.043892576694488525
114,0.8025,0.03692185878753662
115,0.79625,0.03503245949745178
116,0.82875,0.04033260583877563
117,0.81375,0.02686131715774536
118,0.82375,0.025935076475143433
119,0.81,0.028689119815826416
120,0.80375,0.03034076452255249
121,0.8025,0.03726985692977905
122,0.79875,0.025194928646087647
123,0.7975,0.06520522356033326
124,0.81875,0.030360187292098998
125,0.82,0.03457552552223206
126,0.7975,0.02789936900138855
127,0.8125,0.02108193039894104
128,0.82375,0.024828572273254395
129,0.8125,0.03227622509002685
130,0.8175,0.029457935094833375
131,0.8225,0.035506951808929446
132,0.82125,0.03891118049621582
133,0.82625,0.03994734764099121
134,0.82375,0.04147418975830078
135,0.825,0.04244957447052002
136,0.82625,0.04293663620948791
137,0.82625,0.04350342035293579
138,0.82375,0.04438355088233948
139,0.82625,0.044971675872802735
